scenario_id,layout,episode_key,episode_index,source_artifact,source_artifact_sha256,source_pkl,source_pkl_sha256,model_xml,model_xml_sha256,initial_state_sha256,object_template_sha256
v1r_2k_trainfit_l3_demo_0,3,demo_0,0,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_000_attempt_032.npz,d1bbef9b5064b78870e5b93b4cd4af84a67fa36b1f1b151342089139b04f55cb,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_3.pkl,70a492e05cba66b8e4c7cebc59b5289bfe47e0da2af829c2c8deb5ffb6e91d9b,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_000_attempt_032.xml,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,40793e49525dfe62eca78fa4f74203dc911f904083393070a12cae68ab902485,c30e74052dff2f43ff329e0b89cd3f7aa1c6dcf5eaaa08253b2e170dc858aad4
v1r_2k_trainfit_l3_demo_3,3,demo_3,1,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_003_attempt_033.npz,b47f21140a38a9e9d8fef8bcfe3470c773dcd931e6d3bb320aeffa8487941c40,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_3.pkl,70a492e05cba66b8e4c7cebc59b5289bfe47e0da2af829c2c8deb5ffb6e91d9b,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_003_attempt_033.xml,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,5e1eee5298497c05d8bf68b20209429058d199895a46cd581258457c96f0fa5a,3f5a266dade3f367b99a64f3e882ea7fc1c810ebee71a0cd6a6af4288ce55e60
v1r_2k_trainfit_l3_demo_5,3,demo_5,2,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_005_attempt_034.npz,4a9b71c8760f878c27836645f9aeb4ef7e3047fac7d0a9d67de1335d75c7ffc8,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_3.pkl,70a492e05cba66b8e4c7cebc59b5289bfe47e0da2af829c2c8deb5ffb6e91d9b,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_005_attempt_034.xml,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,7e9aa94b14b282b22bfa14445553ca944b50209f7eb4877828f497eecae3a145,fbf75553d48acb23ac94f5858a5cb1dcdafb19459e564e454ed5c52c8645cf30
v1r_2k_trainfit_l3_demo_6,3,demo_6,3,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_006_attempt_035.npz,a0a6b23fd9e5219daa91937e0fec29656e5d8788fee85492657146c697aab5a4,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_3.pkl,70a492e05cba66b8e4c7cebc59b5289bfe47e0da2af829c2c8deb5ffb6e91d9b,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_006_attempt_035.xml,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,ef5a3d3f1aeab804eba2f84a47c5404eacb34f764728e27663eb51208471f339,53ffd00480f27ba4bdf7caf7ed778f32ab33049bad2265c8c5a719c5c151f2a2
v1r_2k_trainfit_l3_demo_10,3,demo_10,4,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_010_attempt_036.npz,cb6f39cebd9f68a3e24f0dc3b595de49a7f3317f008d5ae9c040a8455a62693b,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_3.pkl,70a492e05cba66b8e4c7cebc59b5289bfe47e0da2af829c2c8deb5ffb6e91d9b,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_010_attempt_036.xml,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,ab7295b30552b88ae63942da90a32231058faecd0825805645257b6f633900ae,daf9f547fb144adc73cd68af5a08008cabed55cf43c1cc4229ca391157363b7b
v1r_2k_trainfit_l4_demo_0,4,demo_0,0,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_000_attempt_037.npz,c6a7e1974dd42e3dce0aeb61429cf852eceede52e507923eb388167ba1e6b636,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_4.pkl,daf59d2ceca1a67c1db76f32d37f7fc05b3bd2d459e9eee91b19b8c04e2d7c6a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_000_attempt_037.xml,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049,7e2ee4bc4c88c89cbbe28d5db1f873d782e0f45546640fcf3b85bc6272dda6f0,ec0ea4be7f1524c9aa1274c9f3258f25910e5e27cb81ac91c99979faf558bca6
v1r_2k_trainfit_l4_demo_1,4,demo_1,1,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_001_attempt_038.npz,d079e11d3b04ac05ff58f3601d8433d2fcf54337cc82d4164c2f93421286de1d,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_4.pkl,daf59d2ceca1a67c1db76f32d37f7fc05b3bd2d459e9eee91b19b8c04e2d7c6a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_001_attempt_038.xml,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049,d31735014b0031d22779915e0571cb27bc935fc30f35481c5c39611f4ae92349,6350db156070b8afe722b74566bf716112f3e32226b7c96507d879c0db663348
v1r_2k_trainfit_l4_demo_2,4,demo_2,2,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_002_attempt_039.npz,92ff00c529c6570903d09f9aa4462abf024aee1b9437fde3a7c9d6429ca3ed92,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_4.pkl,daf59d2ceca1a67c1db76f32d37f7fc05b3bd2d459e9eee91b19b8c04e2d7c6a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_002_attempt_039.xml,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049,fae35d1ac239adc94d568076376ad2b3c0b170e7f812f4c13e24e4fdafc598a6,a56d38a2909d39656fabb1401bb2ebd2127a996839b5db800e3969b633050efc
v1r_2k_trainfit_l4_demo_5,4,demo_5,3,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_005_attempt_040.npz,31324e845f1d4c14d404cab714c3fd1cbc4677fc1521c9ecd3b774fc388e27d5,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_4.pkl,daf59d2ceca1a67c1db76f32d37f7fc05b3bd2d459e9eee91b19b8c04e2d7c6a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_005_attempt_040.xml,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049,40616cd019e2b30a8cd2a8ff8c439ae16ee7bf0cb5dca4792d53e8dc24e8d744,115f530cc8c30dd2363a641810657902ce75e042ed8b61be1c2be0874b8d5c90
v1r_2k_trainfit_l4_demo_6,4,demo_6,4,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_006_attempt_041.npz,a9200d50286b15dbe9886ad8e481d085ac14b741390b0067e08d1c3998eef635,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_4.pkl,daf59d2ceca1a67c1db76f32d37f7fc05b3bd2d459e9eee91b19b8c04e2d7c6a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_4_demo_006_attempt_041.xml,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049,a69711c4c1c2611b7636814f24eca3133e7bd9c401d536dfdc1efceab50f2fa2,b89336224e87e53d4b81af337ee46238492b1829722209c73685ec564c8403e8
