local_path,size_bytes,type,description,reason,sha256
outputs/v1r/executable_absolute_contracts_2j/references/layout_2_demo_073.npz,169339,sequential_tail_reference_bundle,Layout 2 demo_73: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,48e3641dcb95a31c0c2510b97706d422ad4ffdd8106186267ba45d200b9fd476
outputs/v1r/executable_absolute_contracts_2j/references/layout_3_demo_000.npz,163866,sequential_tail_reference_bundle,Layout 3 demo_0: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,7dd3d01fbe874852ed1257dd7e4d69a683ed0c577022ed7859e883fb7fc7e471
outputs/v1r/executable_absolute_contracts_2j/references/layout_3_demo_003.npz,180906,sequential_tail_reference_bundle,Layout 3 demo_3: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,a0f8076c011c79e77ceef73f55c1675d975ae50e1e822c7225bf3658aef78fad
outputs/v1r/executable_absolute_contracts_2j/references/layout_3_demo_005.npz,166042,sequential_tail_reference_bundle,Layout 3 demo_5: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,a4f18aeb8883335a09bb069516a4dec6eaebc3304d30bd05a41c5211d8cba2f2
outputs/v1r/executable_absolute_contracts_2j/references/layout_3_demo_006.npz,175603,sequential_tail_reference_bundle,Layout 3 demo_6: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,6c626ce67ff98eeee6ea2d7735ad8cdd39b16ff5b73c01a604cd0089a78db8bc
outputs/v1r/executable_absolute_contracts_2j/references/layout_3_demo_010.npz,156422,sequential_tail_reference_bundle,Layout 3 demo_10: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,038d2467bc072fb660d56ef674d268608e3ea42469f7d080dfe21db4de782a65
outputs/v1r/executable_absolute_contracts_2j/references/layout_4_demo_000.npz,158276,sequential_tail_reference_bundle,Layout 4 demo_0: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,584d1a7c60abfe72aa95003401f04c27d40db80497147006f9244f2af8f97f9e
outputs/v1r/executable_absolute_contracts_2j/references/layout_4_demo_001.npz,169725,sequential_tail_reference_bundle,Layout 4 demo_1: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,b7f034f100b5da00cb180e17d8bf24dd97d8cfd33470e784122d9b49cec14926
outputs/v1r/executable_absolute_contracts_2j/references/layout_4_demo_002.npz,167119,sequential_tail_reference_bundle,Layout 4 demo_2: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,c3c9a185b9003741e1aa249f5979bdd08fc6e4d9954e8ccd8a40c6e1ac8902d8
outputs/v1r/executable_absolute_contracts_2j/references/layout_4_demo_005.npz,174943,sequential_tail_reference_bundle,Layout 4 demo_5: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,f9050a2731f3e45d6675e4d6ab005349d995c3395915f3765989a6ded8e17f03
outputs/v1r/executable_absolute_contracts_2j/references/layout_4_demo_006.npz,148027,sequential_tail_reference_bundle,Layout 4 demo_6: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,c2a36b8beb0d5986639154d6920c8bf8338179ec115f238ddfe4378db4c3d7d1
outputs/v1r/delta_pose_contract_2j/results.json,5917081,generated_runtime_result,"V1-R.2J delta-pose normalization, official runtime, and execution replay telemetry",Raw runtime output remains under gitignored outputs; compact report is tracked,585617ed7dc88c30cf5ac1af0eb1ce6b4cdb343e8f1b41399df2007bcf690379
